Matrix_1,Matrix_2,Matrix_3,Matrix_4,Matrix_5,Matrix_6,Matrix_7,Matrix_8,Matrix_9,Matrix_10,Matrix_11,Matrix_12,Matrix_13,Matrix_14
224,2.26666666666667,-11.5666707931037,224,141,132,142,224,0,0,224,0,0,0
225,4.53333333333333,-12.1421053932859,225,142,132,133,225,0,0,225,0,0,0
226,6.8,-14.3142857142857,226,142,133,143,226,0,0,226,0,0,0
227,17.9714285714286,-14.3142857142857,227,143,133,134,227,0,0,227,0,0,0
228,29.1428571428571,-14.3142857142857,228,143,134,144,228,0,0,228,0,0,0
229,40.3142857142857,-14.3142857142857,229,45,34,135,229,0,0,229,0,0,0
230,51.4857142857143,-14.3142857142857,230,45,135,145,230,0,0,230,0,0,0
231,62.6571428571429,-14.3142857142857,231,145,135,136,231,0,0,231,0,0,0
232,73.8285714285714,-14.3142857142857,232,145,136,146,232,0,0,232,0,0,0
233,85,-14.3142857142857,233,146,136,137,233,0,0,233,47.7142857142857,0,0
234,0,-15.2,234,146,137,147,234,0,0,234,0,0,0
235,2.26666666666667,-15.4222277241383,235,147,137,138,235,0,0,235,0,0,0
236,4.53333333333333,-16.1894738577146,236,147,138,148,236,0,0,236,0,0,0
237,6.8,-19.0857142857143,237,148,138,139,237,0,0,237,0,0,0
238,17.9714285714286,-19.0857142857143,238,148,139,149,238,0,0,238,0,0,0
239,29.1428571428571,-19.0857142857143,239,149,139,140,239,0,0,239,0,0,0
240,40.3142857142857,-19.0857142857143,240,149,140,150,240,0,0,240,0,0,0
241,51.4857142857143,-19.0857142857143,241,150,140,141,241,0,0,241,0,0,0
